,country,iso3Code,region,continent,sub-region,immigration_flow,immigration_100k
76,Haiti,HTI,Latin America & Caribbean ,Latin America & Caribbean ,,28015,250.9287959423788
77,Honduras,HND,Latin America & Caribbean ,Latin America & Caribbean ,,3780,37.69276408617483
78,"Hong Kong SAR, China",HKG,East Asia & Pacific,Asia,,24780,333.3636024255633
79,Hungary,HUN,Europe & Central Asia,Europe,,5975,61.403837922283216
80,Iceland,ISL,Europe & Central Asia,Europe,,95,26.148666177181987
81,India,IND,South Asia,Asia,,842425,60.456032620926976
82,Indonesia,IDN,East Asia & Pacific,Asia,,4760,1.7419874836021818
83,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Asia,,82460,94.46665086647204
84,Iraq,IRQ,Middle East & North Africa,Asia,,33030,79.20930005672619
85,Ireland,IRL,Europe & Central Asia,Europe,,16290,326.975271742369
86,Israel,ISR,Middle East & North Africa,Asia,,14175,155.13696240733165
87,Italy,ITA,Europe & Central Asia,Europe,,11140,18.648478552201095
88,Jamaica,JAM,Latin America & Caribbean ,Latin America & Caribbean ,,37040,1310.1997939724974
89,Japan,JPN,East Asia & Pacific,Asia,,10095,8.003359651027832
90,Jordan,JOR,Middle East & North Africa,Asia,,9960,92.64916975623198
91,Kazakhstan,KAZ,Europe & Central Asia,Asia,,3925,20.291021586118656
92,Kenya,KEN,Sub-Saharan Africa ,Africa,Eastern Africa,6705,12.963556159245455
93,Kiribati,KIR,East Asia & Pacific,Oceania,,0,0.0
94,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Asia,,15,0.05752617072840342
95,"Korea, Rep.",KOR,East Asia & Pacific,Asia,,49565,96.02815611797097
96,Kosovo,XKX,Europe & Central Asia,Europe,,1665,93.43920678250791
97,Kuwait,KWT,Middle East & North Africa,Asia,,130,2.9605225140051217
98,Kyrgyz Republic,KGZ,Europe & Central Asia,Asia,,1195,17.980364407631676
99,Lao PDR,LAO,East Asia & Pacific,Asia,,25,0.34295695116894903
100,Latvia,LVA,Europe & Central Asia,Europe,,745,38.99362938308676
101,Lebanon,LBN,Middle East & North Africa,Asia,,24940,422.70825526637987
102,Lesotho,LSO,Sub-Saharan Africa ,Africa,Austral Africa,0,0.0
103,Liberia,LBR,Sub-Saharan Africa ,Africa,Western Africa,745,14.583504769038514
104,Libya,LBY,Middle East & North Africa,Africa,North Africa,4890,70.00587784525487
105,Liechtenstein,LIE,Europe & Central Asia,Europe,,0,0.0
106,Lithuania,LTU,Europe & Central Asia,Europe,,1055,37.359577344550296
107,Luxembourg,LUX,Europe & Central Asia,Europe,,10,1.6011794287672299
108,"Macao SAR, China",MAC,East Asia & Pacific,Asia,,80,11.949662048620187
109,Madagascar,MDG,Sub-Saharan Africa ,Africa,Eastern Africa,2270,7.934266558911521
110,Malawi,MWI,Sub-Saharan Africa ,Africa,Eastern Africa,145,0.7512678795036007
111,Malaysia,MYS,East Asia & Pacific,Asia,,3525,10.503159439748067
112,Maldives,MDV,South Asia,Asia,,0,0.0
113,Mali,MLI,Sub-Saharan Africa ,Africa,Western Africa,2865,13.367629741011855
114,Malta,MLT,Middle East & North Africa,Europe,,10,1.9850264492367946
115,Marshall Islands,MHL,East Asia & Pacific,Oceania,,0,0.0
116,Mauritania,MRT,Sub-Saharan Africa ,Africa,Western Africa,715,15.742079566689902
117,Mauritius,MUS,Sub-Saharan Africa ,Africa,Eastern Africa,8355,660.7284145246374
118,Mexico,MEX,Latin America & Caribbean ,North America,,41480,32.89491361099702
119,Moldova,MDA,Europe & Central Asia,Europe,,4260,161.1562545130135
120,Monaco,MCO,Europe & Central Asia,Europe,,0,0.0
121,Mongolia,MNG,East Asia & Pacific,Asia,,870,26.424218890028666
122,Montenegro,MNE,Europe & Central Asia,Europe,,50,8.059904433713129
123,Morocco,MAR,Middle East & North Africa,Africa,North Africa,39235,107.82522060766004
124,Mozambique,MOZ,Sub-Saharan Africa ,Africa,Eastern Africa,15,0.04934425271205059
125,Myanmar,MMR,East Asia & Pacific,Asia,,2350,4.448674334447499
126,Namibia,NAM,Sub-Saharan Africa ,Africa,Austral Africa,790,29.30545061906373
127,Nauru,NRU,East Asia & Pacific,Oceania,,0,0.0
128,Nepal,NPL,South Asia,Asia,,12990,45.12137957211255
129,Netherlands,NLD,Europe & Central Asia,Europe,,4655,26.735443475353218
130,New Caledonia,NCL,East Asia & Pacific,Oceania,,0,0.0
131,New Zealand,NZL,East Asia & Pacific,Oceania,,4700,94.11929620794356
132,Nicaragua,NIC,Latin America & Caribbean ,Latin America & Caribbean ,,1775,27.204676047005005
133,Niger,NER,Sub-Saharan Africa ,Africa,Western Africa,660,2.8243054463232244
134,Nigeria,NGA,Sub-Saharan Africa ,Africa,Western Africa,119405,56.40019847811063
135,North Macedonia,MKD,Europe & Central Asia,Europe,,860,46.10317904873193
136,Northern Mariana Islands,MNP,East Asia & Pacific,Oceania,,0,0.0
137,Norway,NOR,Europe & Central Asia,Europe,,475,8.85042009799977
138,Oman,OMN,Middle East & North Africa,Asia,,15,0.32502878468460034
139,Pakistan,PAK,South Asia,Asia,,100710,43.15771386368857
140,Palau,PLW,East Asia & Pacific,Oceania,,0,0.0
141,Panama,PAN,Latin America & Caribbean ,Latin America & Caribbean ,,515,12.10747998056103
142,Papua New Guinea,PNG,East Asia & Pacific,Oceania,,10,0.10313876930772264
143,Paraguay,PRY,Latin America & Caribbean ,South America,,390,5.9516137237879345
144,Peru,PER,Latin America & Caribbean ,South America,,5750,17.702279931278518
145,Philippines,PHL,East Asia & Pacific,Asia,,306820,276.0528309038652
146,Poland,POL,Europe & Central Asia,Europe,,7375,19.648663971276264
147,Portugal,PRT,Europe & Central Asia,Europe,,8150,78.68005281458883
148,Puerto Rico,PRI,Latin America & Caribbean ,Latin America & Caribbean ,,0,0.0
149,Qatar,QAT,Middle East & North Africa,Asia,,5,0.1918028542854056
150,Romania,ROU,Europe & Central Asia,Europe,,7285,37.689508936352006
151,Russian Federation,RUS,Europe & Central Asia,Europe,,19800,13.664418395381654
152,Rwanda,RWA,Sub-Saharan Africa ,Africa,Eastern Africa,6360,49.20128178622314
153,Samoa,WSM,East Asia & Pacific,Oceania,,0,0.0
154,San Marino,SMR,Europe & Central Asia,Europe,,0,0.0
155,Sao Tome and Principe,STP,Sub-Saharan Africa ,Africa,Central Africa,0,0.0
156,Saudi Arabia,SAU,Middle East & North Africa,Asia,,2500,8.001022786744874
157,Senegal,SEN,Sub-Saharan Africa ,Africa,Western Africa,6790,40.99136777787961
158,Serbia,SRB,Europe & Central Asia,Europe,,3955,57.497893394580586
159,Seychelles,SYC,Sub-Saharan Africa ,Africa,Eastern Africa,0,0.0
160,Sierra Leone,SLE,Sub-Saharan Africa ,Africa,Western Africa,575,7.346405036695293
161,Singapore,SGP,East Asia & Pacific,Asia,,2720,48.082209264381085
162,Sint Maarten (Dutch part),SXM,Latin America & Caribbean ,Latin America & Caribbean ,,0,0.0
163,Slovak Republic,SVK,Europe & Central Asia,Europe,,2485,45.663868812942
164,Slovenia,SVN,Europe & Central Asia,Europe,,155,7.408848459413611
165,Solomon Islands,SLB,East Asia & Pacific,Oceania,,20,2.7241187858806883
166,Somalia,SOM,Sub-Saharan Africa ,Africa,Eastern Africa,26355,161.15328272118464
167,South Africa,ZAF,Sub-Saharan Africa ,Africa,Austral Africa,15295,25.451825174907402
168,South Sudan,SSD,Sub-Saharan Africa ,Africa,Eastern Africa,2160,20.162321859381457
169,Spain,ESP,Europe & Central Asia,Europe,,6540,13.844992056396116
170,Sri Lanka,LKA,South Asia,Asia,,22235,101.98430216891508
171,St. Lucia,LCA,Latin America & Caribbean ,Latin America & Caribbean ,,2655,1494.192066993832
